title,artist,mood,energy,language,link
On Top of the World,Imagine Dragons,Happy,4,English,https://www.youtube.com/watch?v=w5tWYmIOWGk
Counting Stars,OneRepublic,Happy,4,English,https://www.youtube.com/watch?v=hT_nvWreIhg
Someone Like You,Adele,Sad,2,English,https://www.youtube.com/watch?v=hLQl3WQQoQ0
Perfect,Ed Sheeran,Sad,2,English,https://www.youtube.com/watch?v=2Vv-BfVoq4g
Believer,Imagine Dragons,Energetic,5,English,https://www.youtube.com/watch?v=7wtfhZwyrcc
Levels,Avicii,Energetic,5,English,https://www.youtube.com/watch?v=_ovdm2yX4MA
Weightless,Marconi Union,Calm,1,English,https://www.youtube.com/watch?v=UfcAVejslrU
River Flows in You,Yiruma,Calm,1,Instrumental,https://www.youtube.com/watch?v=7maJOI3QMu0
Lofi Beats to Study,Assorted,Focus,2,Instrumental,https://www.youtube.com/watch?v=jfKfPfyJRdk
Rainy Night Study,Assorted,Focus,2,Instrumental,https://www.youtube.com/watch?v=DWcJFNfaw9c
Telugu Track 01,Various,Happy,2,Telugu,
Telugu Track 02,Various,Sad,3,Telugu,
Telugu Track 03,Various,Energetic,4,Telugu,
Telugu Track 04,Various,Calm,5,Telugu,
Telugu Track 05,Various,Focus,1,Telugu,
Telugu Track 06,Various,Happy,2,Telugu,
Telugu Track 07,Various,Sad,3,Telugu,
Telugu Track 08,Various,Energetic,4,Telugu,
Telugu Track 09,Various,Calm,5,Telugu,
Telugu Track 10,Various,Focus,1,Telugu,
Telugu Track 11,Various,Happy,2,Telugu,
Telugu Track 12,Various,Sad,3,Telugu,
Telugu Track 13,Various,Energetic,4,Telugu,
Telugu Track 14,Various,Calm,5,Telugu,
Telugu Track 15,Various,Focus,1,Telugu,
Telugu Track 16,Various,Happy,2,Telugu,
Telugu Track 17,Various,Sad,3,Telugu,
Telugu Track 18,Various,Energetic,4,Telugu,
Telugu Track 19,Various,Calm,5,Telugu,
Telugu Track 20,Various,Focus,1,Telugu,
Hindi Track 01,Various,Happy,2,Hindi,
Hindi Track 02,Various,Sad,3,Hindi,
Hindi Track 03,Various,Energetic,4,Hindi,
Hindi Track 04,Various,Calm,5,Hindi,
Hindi Track 05,Various,Focus,1,Hindi,
Hindi Track 06,Various,Happy,2,Hindi,
Hindi Track 07,Various,Sad,3,Hindi,
Hindi Track 08,Various,Energetic,4,Hindi,
Hindi Track 09,Various,Calm,5,Hindi,
Hindi Track 10,Various,Focus,1,Hindi,
Hindi Track 11,Various,Happy,2,Hindi,
Hindi Track 12,Various,Sad,3,Hindi,
Hindi Track 13,Various,Energetic,4,Hindi,
Hindi Track 14,Various,Calm,5,Hindi,
Hindi Track 15,Various,Focus,1,Hindi,
Hindi Track 16,Various,Happy,2,Hindi,
Hindi Track 17,Various,Sad,3,Hindi,
